STATE_FIPS,n_test,n_events,c_index
46,1259,710,0.5662
29,12289,3049,0.6163
56,723,260,0.6388
40,9787,4071,0.6416
10,220,63,0.6579
25,3836,813,0.6646
19,10320,3366,0.674
17,15019,3305,0.6773
27,2934,1035,0.6818
42,11032,4236,0.69
36,3687,2528,0.691
18,5348,1536,0.6925
44,326,132,0.695
54,1937,852,0.6996
16,1956,328,0.7077
26,4054,1510,0.7162
55,3616,1232,0.7202
38,851,351,0.7234
02,516,128,0.7266
30,1437,356,0.7364
35,971,238,0.7397
08,2154,454,0.7401
50,577,252,0.7409
33,1119,314,0.7438
37,9515,2429,0.7446
51,4967,946,0.747
31,2889,1176,0.7471
06,5484,1842,0.7473
39,8197,2673,0.7522
23,522,241,0.7642
21,5733,1085,0.7733
34,1403,503,0.7769
53,2196,457,0.779
20,4415,1362,0.7821
22,4660,1727,0.7855
49,700,178,0.7886
41,2207,525,0.7927
15,248,69,0.7936
04,1718,165,0.798
28,5903,2390,0.8028
01,7117,1429,0.8035
45,6872,1329,0.8088
09,830,290,0.8167
05,2940,799,0.8318
32,311,34,0.8324
24,1002,278,0.8325
47,2973,1234,0.8418
12,2928,375,0.8659
13,3125,668,0.8882
48,9866,1718,0.8888
