feature,importance_mean,importance_std
BASE_HWY_NETWORK_012,0.0279554723864065,0.0011339516366091812
HIGHWAY_SYSTEM_104,0.011443915163049509,0.00042542263416346713
DECK_TYPE_1,0.0046610864257576505,0.0003890202166363384
SCOUR_CRITICAL_113,0.0038859569809531016,0.00022382140373534694
LAT_UND_MT_055B,0.0038092569211536365,0.00033235687542905527
OPERATING_RATING_064,0.0037996552519246793,0.0006638789206474593
SURFACE_TYPE_1,0.0036025802829127893,0.0002947786650213693
INVENTORY_RATING_066,0.0036012490780343853,0.0008004706283192823
mean_vp,0.0030830421747514527,0.00013706709236585343
years_since_reconstruction,0.002952952302277767,0.00016281939018170178
STRUCTURE_TYPE_043B_2,0.0028509310262816445,0.00014431168952846131
YEAR_BUILT_027,0.002738939875451855,0.0001695134484897137
ever_reconstructed,0.0025082165788765654,3.18150289262205e-05
snow_days,0.0024678839034133113,9.12808354654214e-05
freezing_index,0.0024613978200698585,5.705019677093696e-05
mean_tmax_DJF,0.0024418262760073453,0.00014369190346086796
mean_srad,0.0024220847908964136,9.665316508668214e-05
dist_to_coast_km,0.0023860572886568545,9.547473520431393e-05
LEFT_LAT_UND_MT_056,0.002333488857716004,5.408943231847066e-05
MAX_SPAN_LEN_MT_048,0.0023089040527286184,7.994830816087286e-05
STRUCTURE_LEN_MT_049,0.0022633598517842004,6.633628013992312e-05
mean_tmin_JJA,0.0022457992767931736,3.051663138832308e-05
mean_tmin_DJF,0.0022420039267144753,0.00012720925286262942
HISTORY_5,0.002197507695567924,7.745994260485992e-05
max_swe,0.002178700886222703,3.5280837612947204e-05
DECK_TYPE_8,0.002028416352509388,0.00022091265406574587
STRUCTURE_KIND_043A_1,0.001980747888461217,0.00012263628286907698
mean_tmax_JJA,0.001969390161733179,0.00015405825956710112
heavy_rain_days,0.0018968819811251425,0.00011776561108920915
DECK_PROTECTION_0,0.001766367256030706,0.00010691333827455309
freeze_thaw_cycles,0.0017551511468428815,7.772730269388917e-05
wet_days,0.0017339934863295585,9.351795308489026e-05
annual_precip_mm,0.0016920746944155314,4.242269658331727e-05
hot_days,0.0015841054817288998,4.839338041523095e-05
STATE_29,0.0014845200274250514,6.870100275385493e-05
STATE_06,0.0014618895444931113,3.1099701950386524e-05
annual_max_tmax,0.0014464249090977803,0.00014990342331376482
DECK_WIDTH_MT_052,0.0014396272671658068,0.00013189356631452192
max_1day_precip,0.001405695704521907,4.011126770587439e-05
SURFACE_TYPE_0,0.0013960373882768347,0.00011787087779380624
LEFT_CURB_MT_050A,0.0013305817611732884,0.00010083884088573515
MAIN_UNIT_SPANS_045,0.0013148055671893995,1.5438208666185635e-05
mean_diurnal_range,0.0013084894248942918,3.923665701029098e-05
adt_at_entry,0.0011816850793544182,8.347055555807029e-05
PIER_PROTECTION_111_1,0.001148829810016368,1.9811114543264377e-05
STRUCTURE_KIND_043A_7,0.001129711442082589,0.00015411292607730968
APPR_WIDTH_MT_032,0.0011272472968822573,4.5453238853465266e-05
DECK_PROTECTION_1,0.0010797770973904515,9.353466203832783e-05
truck_pct_at_entry,0.0010558720565962594,9.142460747098798e-05
location_imputed,0.0010251127268539422,4.758725298401345e-05
DEGREES_SKEW_034,0.0009530010753585986,5.560545948262769e-05
VERT_CLR_OVER_MT_053_unrestricted,0.0009467132565715112,0.00011668228636918965
RIGHT_CURB_MT_050B,0.0009415583781063885,6.964580732448359e-05
ROADWAY_WIDTH_MT_051,0.0009035199067952323,0.00025846427590826837
HISTORY_3,0.0008157170318402462,3.2651317476251766e-05
STATE_40,0.0007188789578172298,5.5850453233246556e-05
STATE_36,0.0006815768977153821,5.8246011710310684e-05
MAINTENANCE_1,0.0006456060424919011,7.558674592662009e-05
MIN_VERT_CLR_010_unrestricted,0.0006336535220947681,0.00011325610067291666
STATE_39,0.0006270258212110654,4.1194047402476684e-05
MAINTENANCE_2,0.0005891006439321019,6.270874574428427e-05
lanes_und_at_entry,0.0005500708498391941,3.3330571879453814e-05
STATE_37,0.0005188866674761261,2.226663713509609e-05
STATE_17,0.0005186034323956257,2.0802609216084255e-05
design_load_ordinal,0.0005135052009466179,6.426552172652705e-05
STATE_19,0.0005014110630092716,7.698864052201088e-05
HISTORY_4,0.0004944151565209332,3.539933178801152e-05
ROAD_CLASS_Local,0.00048688110337965124,3.2194822161950374e-05
MEMBRANE_TYPE_8,0.00046272115101297917,7.949186174245756e-05
STATE_22,0.00045399751053358067,3.830169886873626e-05
SURFACE_TYPE_6,0.0004435461360631221,8.777681345986711e-05
VERT_CLR_UND_054B,0.0004170070090202538,2.536663880498056e-05
HORR_CLR_MT_047,0.00041049260216878086,0.00012843683781132837
DETOUR_KILOS_019,0.0003859361206894156,0.00010995161747815078
MEMBRANE_TYPE_0,0.0003726807189220101,3.707137150150165e-05
